grid_lat,grid_lon,norm_demand,norm_competitor,norm_risk,total_score,cluster,dist_to_center_km,zone_type,annual_opex,est_cars_per_day,year_1_revenue,payback_years,is_viable,is_flood_safe,is_golden
13.567,100.6427,0.24759574658698907,0.0,0.0,0.09903829863479563,0,24.728152954022523,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.7855,0.5886858943370319,0.0,0.0,0.23547435773481276,0,34.60667503919923,URBAN,120000.0,28.0,766500.0,2.23,True,True,True
13.567,100.7906,0.5886858943370319,0.0,0.0,0.23547435773481276,0,35.03371550232562,URBAN,120000.0,28.0,766500.0,2.23,True,True,True
13.567,100.7957,0.31878161653111603,0.0,0.0,0.1275126466124464,0,35.46417593247539,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.567,100.811,0.23253673127977598,0.0,0.0,0.0930146925119104,0,36.774871323641776,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.8161,0.23253673127977598,0.0,0.0,0.0930146925119104,0,37.217829943126006,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.8212,0.2902868783024667,0.0,0.0,0.11611475132098668,0,37.66364106771657,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.567,100.8263,0.24982825177380769,0.0,0.0,0.09993130070952308,0,38.112204597173054,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.8314,0.24982825177380769,0.0,0.0,0.09993130070952308,0,38.563424484818746,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.2704,0.3524227864769283,0.0,0.0,0.14096911459077133,2,36.05981887813278,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.5715,100.301,0.31039450423416476,0.0,0.0,0.12415780169366591,2,33.46404317976048,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5715,100.3061,0.31039450423416476,0.0,0.0,0.12415780169366591,2,33.043752740069976,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5715,100.3724,0.290757772244777,0.0,0.0,0.1163031088979108,2,27.995858353586932,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5715,100.5917,0.23836580398571197,0.0,0.0,0.0953463215942848,0,22.26562667528196,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.5968,0.23836580398571197,0.0,0.0,0.0953463215942848,0,22.41473433287438,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.6019,0.33985944253785555,0.0,0.0,0.13594377701514224,0,22.576310061239315,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.5715,100.607,0.33985944253785555,0.0,0.0,0.13594377701514224,0,22.750088210048578,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.5715,100.6121,0.47688467344996394,0.0,0.0,0.1907538693799856,0,22.935791417399876,URBAN,120000.0,24.0,657000.0,2.65,True,True,True
13.5715,100.6376,0.2928294228549988,0.0,0.0,0.11713176914199952,0,24.03288895999575,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5715,100.6427,0.24759574658698907,0.0,0.0,0.09903829863479563,0,24.28389233401175,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.6478,0.24759574658698907,0.0,0.0,0.09903829863479563,0,24.544701643589388,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.7855,0.5886858943370319,0.0,0.0,0.23547435773481276,0,34.2904749508826,URBAN,120000.0,28.0,766500.0,2.23,True,True,True
13.5715,100.7906,0.5886858943370319,0.0,0.0,0.23547435773481276,0,34.7213964376165,URBAN,120000.0,28.0,766500.0,2.23,True,True,True
13.5715,100.7957,0.31878161653111603,0.0,0.0,0.1275126466124464,0,35.15567301712381,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.5715,100.811,0.23253673127977598,0.0,0.0,0.0930146925119104,0,36.47743039617113,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.8212,0.2902868783024667,0.0,0.0,0.11611475132098668,0,37.37325736255908,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5715,100.8263,0.24982825177380769,0.0,0.0,0.09993130070952308,0,37.82525610360687,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5715,100.8314,0.24982825177380769,0.0,0.0,0.09993130070952308,0,38.279849909783444,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.576,100.2704,0.2787891162406187,0.0,0.0,0.11151564649624748,2,35.76343989450773,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.576,100.3622,0.21997875100787048,0.0,0.0,0.0879915004031482,2,28.341021701378356,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.576,100.3724,0.3682371502611815,0.0,0.0,0.1472948601044726,2,27.61323995123492,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.576,100.5917,0.3815551219778299,0.0,0.0,0.15262204879113198,0,21.782712261189847,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.576,100.5968,0.3815551219778299,0.0,0.0,0.15262204879113198,0,21.935099965620587,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
